Depth_m,Vp_km/s,Vs_km/s,GammaRay_api,Density_g/cc,Caliper_m,Swt_v/v,Phit_v/v,Vsh_v/v
1898.39,3.71,2.36,54.00,2.51,0.21,0.99,0.09,0.38
1898.54,3.53,2.14,51.64,2.45,0.21,0.99,0.10,0.35
1898.69,3.48,1.99,48.91,2.43,0.21,1.00,0.10,0.33
1898.85,3.54,1.93,47.16,2.44,0.21,1.00,0.09,0.31
1899.00,3.61,1.96,47.57,2.46,0.21,1.00,0.08,0.31
1899.15,3.63,2.02,49.62,2.47,0.21,1.00,0.08,0.33
1899.30,3.61,2.02,51.68,2.49,0.22,0.99,0.08,0.35
1899.46,3.63,2.04,51.68,2.51,0.22,0.93,0.09,0.35
1899.61,3.81,2.07,49.27,2.53,0.22,0.92,0.09,0.33
1899.76,4.06,2.15,47.14,2.52,0.21,0.93,0.09,0.31
1899.91,4.10,2.30,47.37,2.53,0.21,1.00,0.09,0.31
1900.07,3.92,2.36,49.77,2.53,0.21,0.95,0.10,0.34
1900.22,3.72,2.31,51.69,2.49,0.21,0.94,0.10,0.35
1900.37,3.63,2.22,51.55,2.47,0.21,0.91,0.11,0.35
1900.52,3.62,2.15,50.87,2.45,0.21,0.85,0.13,0.35
1900.67,3.62,2.12,50.39,2.45,0.21,0.83,0.13,0.34
1900.83,3.61,2.13,48.90,2.44,0.21,0.83,0.14,0.33
1900.98,3.59,2.14,46.86,2.43,0.21,0.83,0.14,0.31
1901.13,3.57,2.12,45.90,2.43,0.21,0.87,0.14,0.30
1901.28,3.57,2.10,45.73,2.42,0.21,0.90,0.14,0.29
1901.44,3.56,2.09,45.08,2.42,0.21,0.91,0.14,0.29
1901.59,3.54,2.08,44.89,2.43,0.21,0.88,0.14,0.29
1901.74,3.55,2.08,47.31,2.44,0.22,0.89,0.14,0.31
1901.89,3.60,2.07,51.45,2.45,0.22,0.84,0.14,0.35
1902.05,3.63,2.08,54.27,2.45,0.22,0.85,0.13,0.38
1902.20,3.64,2.09,54.30,2.45,0.22,0.85,0.13,0.38
1902.35,3.64,2.09,53.07,2.44,0.22,0.91,0.12,0.37
1902.50,3.63,2.10,53.00,2.43,0.21,0.94,0.12,0.37
1902.66,3.62,2.09,53.66,2.43,0.21,0.92,0.13,0.37
1902.81,3.63,2.08,53.24,2.43,0.21,0.91,0.13,0.37
1902.96,3.66,2.07,52.47,2.43,0.21,0.92,0.13,0.36
1903.11,3.71,2.07,53.22,2.45,0.21,0.95,0.12,0.37
1903.27,3.76,2.09,54.90,2.45,0.21,0.97,0.12,0.39
1903.42,3.76,2.13,55.90,2.45,0.21,0.99,0.11,0.40
1903.57,3.70,2.14,56.92,2.44,0.22,1.00,0.12,0.41
1903.72,3.72,2.11,59.07,2.43,0.22,1.00,0.12,0.43
1903.88,3.68,2.05,61.01,2.43,0.21,1.00,0.12,0.45
1904.03,3.51,1.98,61.35,2.40,0.21,1.00,0.12,0.45
1904.18,3.37,1.95,61.34,2.39,0.21,1.00,0.13,0.45
1904.33,3.35,1.96,62.65,2.38,0.21,0.99,0.14,0.46
1904.48,3.40,2.01,63.63,2.38,0.21,1.00,0.14,0.47
1904.64,3.44,2.07,61.30,2.38,0.21,1.00,0.13,0.45
1904.79,3.46,2.08,55.58,2.40,0.21,1.00,0.12,0.39
1904.94,3.52,2.08,50.16,2.45,0.21,1.00,0.12,0.34
1905.09,3.66,2.03,51.42,2.54,0.21,1.00,0.11,0.35
1905.25,3.80,2.02,62.51,2.59,0.21,1.00,0.10,0.46
1905.40,3.85,2.07,76.93,2.59,0.21,1.00,0.09,0.59
1905.55,3.87,2.12,86.79,2.58,0.21,1.00,0.09,0.68
1905.70,3.87,2.16,91.06,2.58,0.21,1.00,0.09,0.72
1905.86,3.88,2.15,92.39,2.59,0.21,1.00,0.09,0.73
1906.01,3.91,2.15,93.82,2.59,0.21,1.00,0.09,0.74
1906.16,3.93,2.16,96.80,2.60,0.21,1.00,0.09,0.77
1906.31,3.99,2.23,99.74,2.61,0.21,1.00,0.10,0.79
1906.47,4.00,2.34,102.99,2.60,0.21,1.00,0.10,0.82
1906.62,3.93,2.34,109.28,2.58,0.21,1.00,0.11,0.87
1906.77,3.86,2.25,115.71,2.57,0.21,1.00,0.11,0.92
1906.92,3.79,2.02,117.23,2.53,0.21,1.00,0.11,0.93
1907.08,3.76,1.85,115.07,2.51,0.22,1.00,0.11,0.91
1907.23,3.64,1.77,112.63,2.47,0.22,1.00,0.11,0.89
1907.38,3.43,1.73,111.79,2.44,0.22,1.00,0.12,0.89
1907.53,3.21,1.68,114.26,2.43,0.22,1.00,0.12,0.91
1907.69,3.08,1.60,117.36,2.45,0.22,1.00,0.11,0.93
1907.84,3.15,1.57,116.35,2.46,0.22,1.00,0.11,0.92
1907.99,3.42,1.62,112.31,2.46,0.22,1.00,0.11,0.89
1908.14,3.56,1.73,110.55,2.31,0.21,1.00,0.12,0.88
1908.29,3.27,1.80,112.64,2.10,0.22,1.00,0.13,0.89
1908.45,2.87,1.68,113.12,1.96,0.22,1.00,0.14,0.90
1908.60,2.65,1.45,105.75,1.93,0.22,0.94,0.15,0.84
1908.75,2.73,1.32,95.24,2.11,0.21,0.96,0.15,0.75
1908.90,3.08,1.37,91.42,2.37,0.21,1.00,0.12,0.72
1909.06,3.54,1.65,91.59,2.50,0.21,1.00,0.09,0.72
1909.21,3.94,2.05,86.21,2.53,0.22,1.00,0.09,0.68
1909.36,4.26,2.36,77.09,2.54,0.22,1.00,0.08,0.60
1909.51,4.40,2.49,72.10,2.53,0.22,1.00,0.08,0.55
1909.67,4.38,2.58,72.55,2.53,0.22,1.00,0.08,0.55
1909.82,4.24,2.58,76.33,2.54,0.22,1.00,0.08,0.59
1909.97,3.99,2.41,83.42,2.55,0.22,1.00,0.09,0.65
1910.12,3.81,2.25,93.40,2.57,0.22,1.00,0.09,0.74
1910.28,3.69,2.10,102.60,2.57,0.22,1.00,0.10,0.81
1910.43,3.62,2.00,108.02,2.57,0.22,1.00,0.11,0.86
1910.58,3.56,1.94,110.71,2.57,0.22,1.00,0.11,0.88
1910.73,3.48,1.84,112.81,2.57,0.21,1.00,0.11,0.90
1910.89,3.39,1.71,114.01,2.57,0.21,1.00,0.11,0.90
1911.04,3.40,1.66,112.07,2.56,0.22,1.00,0.11,0.89
1911.19,3.54,1.73,105.62,2.54,0.22,1.00,0.12,0.84
1911.34,3.66,1.89,97.73,2.52,0.22,1.00,0.12,0.77
1911.50,3.68,1.98,94.94,2.52,0.22,1.00,0.11,0.75
1911.65,3.65,1.97,99.87,2.53,0.22,1.00,0.11,0.79
1911.80,3.74,1.99,106.80,2.55,0.22,1.00,0.11,0.85
1911.95,3.98,2.12,108.29,2.57,0.22,1.00,0.11,0.86
1912.10,4.17,2.27,102.77,2.58,0.22,1.00,0.11,0.82
1912.26,4.16,2.35,94.85,2.55,0.22,1.00,0.10,0.75
1912.41,4.00,2.32,90.23,2.51,0.22,1.00,0.10,0.71
1912.56,3.70,2.18,91.34,2.49,0.22,1.00,0.10,0.72
1912.71,3.52,2.01,96.72,2.51,0.22,1.00,0.10,0.77
1912.87,3.58,1.89,102.56,2.56,0.22,1.00,0.10,0.81
1913.02,3.76,1.93,105.49,2.62,0.21,1.00,0.11,0.84
1913.17,3.95,2.04,105.58,2.63,0.21,1.00,0.11,0.84
1913.32,4.02,2.16,105.96,2.62,0.21,1.00,0.11,0.84
1913.48,4.04,2.25,108.35,2.60,0.22,1.00,0.11,0.86
1913.63,4.06,2.32,109.03,2.57,0.22,1.00,0.11,0.87
1913.78,4.04,2.36,100.27,2.53,0.22,1.00,0.10,0.79
1913.93,3.95,2.33,81.54,2.49,0.22,1.00,0.10,0.63
1914.09,3.84,2.25,63.89,2.46,0.22,1.00,0.12,0.47
1914.24,3.75,2.17,55.53,2.46,0.22,1.00,0.13,0.39
1914.39,3.71,2.12,54.24,2.47,0.22,1.00,0.12,0.38
1914.54,3.69,2.10,54.86,2.47,0.22,1.00,0.12,0.39
1914.70,3.68,2.08,54.93,2.47,0.22,1.00,0.12,0.39
1914.85,3.67,2.06,55.26,2.46,0.22,1.00,0.12,0.39
1915.00,3.67,2.06,55.48,2.46,0.22,1.00,0.11,0.39
1915.15,3.70,2.07,53.21,2.46,0.22,1.00,0.11,0.37
1915.31,3.70,2.11,49.62,2.45,0.22,1.00,0.11,0.33
1915.46,3.67,2.11,48.15,2.44,0.22,1.00,0.11,0.32
1915.61,3.63,2.08,49.12,2.44,0.22,1.00,0.12,0.33
1915.76,3.61,2.04,50.60,2.46,0.22,1.00,0.12,0.34
1915.91,3.59,2.01,52.25,2.48,0.22,1.00,0.13,0.36
1916.07,3.58,2.00,55.48,2.49,0.22,1.00,0.13,0.39
1916.22,3.57,2.01,60.30,2.49,0.22,1.00,0.13,0.44
1916.37,3.55,2.02,63.93,2.49,0.22,1.00,0.13,0.47
1916.52,3.57,2.02,64.51,2.49,0.22,1.00,0.13,0.48
1916.68,3.62,2.04,63.31,2.48,0.22,1.00,0.12,0.47
1916.83,3.63,2.08,61.36,2.48,0.22,1.00,0.12,0.45
1916.98,3.61,2.08,58.78,2.46,0.22,1.00,0.11,0.42
1917.13,3.58,2.05,57.46,2.45,0.22,1.00,0.11,0.41
1917.29,3.59,2.05,58.42,2.44,0.22,1.00,0.11,0.42
1917.44,3.58,2.05,59.14,2.44,0.22,1.00,0.11,0.43
1917.59,3.56,2.04,57.32,2.45,0.22,1.00,0.10,0.41
1917.74,3.54,2.02,53.82,2.46,0.22,1.00,0.11,0.38
1917.90,3.53,1.99,50.63,2.46,0.22,1.00,0.11,0.34
1918.05,3.53,2.00,48.98,2.46,0.22,1.00,0.12,0.33
1918.20,3.52,2.01,48.91,2.46,0.22,1.00,0.12,0.33
1918.35,3.50,2.01,50.20,2.46,0.22,1.00,0.12,0.34
1918.51,3.55,2.00,52.62,2.47,0.22,1.00,0.12,0.36
1918.66,3.69,2.04,54.04,2.49,0.22,1.00,0.12,0.38
1918.81,3.91,2.16,51.85,2.52,0.22,1.00,0.11,0.36
1918.96,4.08,2.34,47.01,2.54,0.22,0.97,0.11,0.31
1919.12,4.12,2.48,42.31,2.53,0.22,0.93,0.11,0.26
1919.27,4.06,2.51,38.99,2.51,0.21,0.94,0.11,0.22
1919.42,4.05,2.47,37.01,2.50,0.21,1.00,0.10,0.20
1919.57,4.14,2.44,36.00,2.51,0.21,1.00,0.10,0.19
1919.72,4.26,2.41,36.44,2.54,0.21,1.00,0.09,0.20
1919.88,4.30,2.42,39.15,2.56,0.21,1.00,0.08,0.23
1920.03,4.31,2.44,43.24,2.57,0.21,1.00,0.08,0.27
1920.18,4.22,2.40,47.10,2.58,0.22,1.00,0.09,0.31
1920.33,4.02,2.36,49.99,2.54,0.22,1.00,0.09,0.34
1920.49,3.80,2.28,51.86,2.47,0.21,1.00,0.10,0.36
1920.64,3.61,2.18,52.53,2.43,0.21,1.00,0.11,0.36
1920.79,3.54,2.10,51.57,2.43,0.21,0.99,0.12,0.35
1920.94,3.58,2.06,49.64,2.43,0.21,0.95,0.13,0.33
1921.10,3.63,2.08,48.12,2.45,0.21,0.93,0.13,0.32
1921.25,3.68,2.13,46.74,2.47,0.21,0.91,0.13,0.30
1921.40,3.68,2.17,44.60,2.47,0.21,0.93,0.13,0.28
1921.55,3.66,2.18,42.84,2.47,0.21,0.97,0.13,0.26
1921.71,3.63,2.15,42.24,2.45,0.21,1.00,0.13,0.26
1921.86,3.60,2.12,41.65,2.43,0.21,1.00,0.13,0.25
1922.01,3.59,2.10,40.67,2.42,0.22,1.00,0.13,0.24
1922.16,3.61,2.10,40.03,2.42,0.22,0.98,0.13,0.23
1922.32,3.62,2.12,39.92,2.42,0.21,0.97,0.13,0.23
1922.47,3.63,2.13,40.22,2.41,0.21,0.99,0.12,0.24
1922.62,3.69,2.13,40.28,2.42,0.22,1.00,0.11,0.24
1922.77,3.85,2.15,39.78,2.44,0.22,1.00,0.10,0.23
1922.93,4.10,2.20,39.38,2.50,0.21,1.00,0.10,0.23
1923.08,4.33,2.36,39.20,2.56,0.21,1.00,0.09,0.23
1923.23,4.46,2.55,39.23,2.60,0.21,1.00,0.09,0.23
1923.38,4.46,2.65,39.91,2.61,0.21,1.00,0.08,0.23
1923.53,4.32,2.64,41.58,2.60,0.21,1.00,0.09,0.25
1923.69,4.12,2.55,44.15,2.57,0.21,1.00,0.09,0.28
1923.84,3.90,2.43,46.25,2.51,0.21,1.00,0.11,0.30
1923.99,3.72,2.29,46.16,2.46,0.21,1.00,0.12,0.30
1924.14,3.69,2.19,44.21,2.44,0.21,0.95,0.14,0.28
1924.30,3.74,2.16,42.64,2.45,0.21,0.91,0.15,0.26
1924.45,3.79,2.19,43.06,2.47,0.21,0.91,0.15,0.27
1924.60,3.81,2.21,45.16,2.48,0.21,0.91,0.15,0.29
1924.75,3.77,2.19,47.35,2.48,0.21,0.93,0.15,0.31
1924.91,3.72,2.17,48.36,2.47,0.21,0.96,0.15,0.32
1925.06,3.70,2.14,48.30,2.46,0.21,1.00,0.14,0.32
1925.21,3.69,2.14,48.62,2.46,0.21,1.00,0.14,0.32
1925.36,3.67,2.16,49.18,2.46,0.21,1.00,0.14,0.33
1925.52,3.64,2.16,48.74,2.45,0.21,1.00,0.13,0.32
1925.67,3.61,2.15,48.12,2.43,0.21,1.00,0.14,0.32
1925.82,3.58,2.13,47.93,2.41,0.21,1.00,0.15,0.32
1925.97,3.57,2.10,47.29,2.41,0.21,1.00,0.15,0.31
1926.13,3.57,2.07,46.80,2.43,0.21,1.00,0.15,0.30
1926.28,3.60,2.06,48.39,2.44,0.21,0.97,0.15,0.32
1926.43,3.61,2.07,50.96,2.45,0.21,1.00,0.15,0.35
1926.58,3.57,2.07,51.74,2.45,0.21,1.00,0.14,0.35
1926.74,3.61,2.02,51.28,2.45,0.21,1.00,0.13,0.35
1926.89,3.70,1.97,51.05,2.43,0.21,1.00,0.12,0.35
1927.04,3.48,1.94,51.10,2.31,0.21,1.00,0.11,0.35
1927.19,2.94,1.73,51.47,2.00,0.22,1.00,0.09,0.35
1927.34,2.53,1.45,53.42,1.72,0.22,1.00,0.09,0.37
1927.50,2.35,1.21,59.34,1.57,0.23,1.00,0.11,0.43
1927.65,2.38,1.08,70.36,1.57,0.23,1.00,0.12,0.53
1927.80,2.60,1.10,85.84,1.74,0.23,1.00,0.12,0.67
1927.95,2.99,1.22,100.76,2.04,0.22,1.00,0.12,0.80
1928.11,3.40,1.51,108.05,2.34,0.21,1.00,0.11,0.86
1928.26,3.75,1.89,107.39,2.53,0.21,1.00,0.11,0.85
1928.41,3.97,2.16,102.95,2.62,0.22,1.00,0.10,0.82
1928.56,4.10,2.24,98.23,2.64,0.22,1.00,0.10,0.78
1928.72,4.13,2.20,95.23,2.64,0.21,1.00,0.09,0.75
1928.87,4.13,2.16,94.87,2.61,0.21,1.00,0.09,0.75
1929.02,3.99,2.06,97.13,2.51,0.21,1.00,0.09,0.77
1929.17,3.48,2.04,97.26,2.25,0.21,1.00,0.10,0.77
1929.33,2.88,1.96,87.44,1.87,0.22,0.96,0.12,0.69
1929.48,2.51,1.83,66.84,1.57,0.22,0.98,0.13,0.50
1929.63,2.37,1.71,46.47,1.44,0.23,1.00,0.13,0.30
1929.78,2.33,1.61,40.70,1.45,0.23,1.00,0.13,0.24
1929.94,2.35,1.52,54.17,1.63,0.23,1.00,0.12,0.38
1930.09,2.56,1.44,78.28,1.91,0.22,1.00,0.11,0.61
1930.24,2.96,1.36,99.62,2.23,0.21,1.00,0.11,0.79
1930.39,3.32,1.54,110.35,2.46,0.22,1.00,0.11,0.88
1930.55,3.54,1.79,112.10,2.53,0.22,1.00,0.11,0.89
1930.70,3.64,1.91,111.40,2.55,0.21,1.00,0.11,0.88
1930.85,3.64,1.96,111.27,2.56,0.21,1.00,0.11,0.88
1931.00,3.64,1.99,109.98,2.57,0.21,1.00,0.11,0.87
1931.15,3.68,2.03,108.74,2.58,0.21,1.00,0.11,0.86
1931.31,3.73,2.09,109.84,2.58,0.22,1.00,0.11,0.87
1931.46,3.78,2.13,111.73,2.57,0.21,1.00,0.11,0.89
1931.61,3.84,2.15,113.23,2.57,0.21,1.00,0.11,0.90
1931.76,3.89,2.16,114.86,2.58,0.21,1.00,0.11,0.91
1931.92,3.92,2.18,115.12,2.58,0.21,1.00,0.11,0.91
1932.07,3.93,2.20,111.92,2.58,0.21,1.00,0.11,0.89
1932.22,3.93,2.22,107.62,2.58,0.21,1.00,0.11,0.85
1932.37,3.95,2.24,105.56,2.60,0.21,1.00,0.11,0.84
1932.53,3.94,2.26,103.45,2.61,0.22,1.00,0.10,0.82
1932.68,3.90,2.26,100.88,2.60,0.21,1.00,0.10,0.80
1932.83,3.84,2.25,102.31,2.58,0.21,1.00,0.10,0.81
1932.98,3.79,2.23,103.03,2.57,0.21,1.00,0.10,0.82
1933.14,3.75,2.21,94.11,2.56,0.21,1.00,0.10,0.74
1933.29,3.74,2.20,78.92,2.52,0.21,1.00,0.10,0.61
1933.44,3.74,2.22,64.92,2.47,0.21,1.00,0.11,0.48
1933.59,3.73,2.24,54.93,2.45,0.21,1.00,0.12,0.39
1933.75,3.72,2.24,50.25,2.48,0.21,1.00,0.12,0.34
1933.90,3.70,2.24,50.22,2.50,0.21,1.00,0.12,0.34
1934.05,3.69,2.23,51.68,2.50,0.21,1.00,0.11,0.35
1934.20,3.67,2.22,51.71,2.48,0.21,1.00,0.11,0.35
1934.36,3.66,2.22,50.47,2.46,0.21,1.00,0.12,0.34
1934.51,3.65,2.21,48.94,2.46,0.21,1.00,0.12,0.33
1934.66,3.64,2.21,46.89,2.45,0.21,1.00,0.12,0.31
1934.81,3.65,2.20,45.10,2.43,0.21,1.00,0.12,0.29
1934.96,3.66,2.20,44.48,2.42,0.21,1.00,0.11,0.28
1935.12,3.68,2.20,44.73,2.42,0.21,1.00,0.11,0.28
1935.27,3.70,2.20,44.54,2.44,0.21,1.00,0.11,0.28
1935.42,3.70,2.18,43.03,2.46,0.21,1.00,0.11,0.27
1935.57,3.68,2.16,42.15,2.48,0.21,1.00,0.11,0.26
1935.73,3.66,2.17,44.24,2.50,0.21,0.93,0.13,0.28
1935.88,3.64,2.19,48.17,2.48,0.21,0.91,0.13,0.32
1936.03,3.66,2.22,50.24,2.46,0.21,0.98,0.13,0.34
1936.18,3.70,2.23,48.16,2.46,0.21,1.00,0.13,0.32
1936.34,3.72,2.23,45.25,2.46,0.21,1.00,0.14,0.29
1936.49,3.73,2.23,45.85,2.46,0.21,1.00,0.13,0.30
1936.64,3.74,2.23,47.55,2.46,0.21,1.00,0.13,0.31
1936.79,3.75,2.21,45.99,2.44,0.21,1.00,0.14,0.30
1936.95,3.72,2.19,43.72,2.44,0.21,1.00,0.14,0.27
1937.10,3.70,2.16,44.72,2.46,0.22,1.00,0.14,0.28
1937.25,3.69,2.14,45.95,2.49,0.22,1.00,0.14,0.30
1937.40,3.70,2.15,44.42,2.49,0.21,1.00,0.14,0.28
1937.56,3.74,2.17,43.19,2.47,0.21,1.00,0.14,0.27
1937.71,3.75,2.21,44.22,2.45,0.21,1.00,0.14,0.28
1937.86,3.73,2.22,45.44,2.43,0.21,1.00,0.15,0.29
1938.01,3.72,2.19,44.64,2.42,0.21,1.00,0.15,0.28
1938.17,3.76,2.18,42.60,2.43,0.21,1.00,0.15,0.26
1938.32,3.90,2.19,41.06,2.44,0.21,1.00,0.14,0.25
1938.47,4.10,2.23,39.54,2.48,0.21,1.00,0.13,0.23
1938.62,4.33,2.30,37.67,2.52,0.21,1.00,0.12,0.21
1938.77,4.75,2.40,36.18,2.57,0.21,1.00,0.12,0.19
1938.93,5.14,2.53,35.88,2.61,0.21,1.00,0.11,0.19
1939.08,5.24,2.65,36.46,2.62,0.21,1.00,0.11,0.20
1939.23,4.78,2.71,36.37,2.59,0.21,1.00,0.11,0.20
1939.38,4.13,2.66,36.24,2.54,0.21,1.00,0.12,0.19
1939.54,3.88,2.50,38.50,2.51,0.21,1.00,0.12,0.22
1939.69,3.78,2.34,43.03,2.50,0.21,1.00,0.13,0.27
1939.84,3.66,2.23,47.09,2.49,0.21,1.00,0.13,0.31
1939.99,3.55,2.17,47.79,2.48,0.21,1.00,0.13,0.32
1940.15,3.49,2.13,44.32,2.44,0.21,1.00,0.14,0.28
1940.30,3.49,2.10,39.61,2.40,0.21,1.00,0.15,0.23
1940.45,3.50,2.02,37.58,2.40,0.21,1.00,0.15,0.21
1940.60,3.27,1.88,40.09,2.37,0.21,1.00,0.15,0.24
1940.76,3.03,1.78,48.79,2.33,0.21,1.00,0.14,0.33
1940.91,2.94,1.72,62.83,2.27,0.21,1.00,0.15,0.46
1941.06,2.99,1.72,72.39,2.27,0.21,0.91,0.17,0.55
1941.21,3.14,1.82,67.57,2.30,0.21,0.88,0.17,0.51
1941.37,3.31,1.97,53.09,2.33,0.21,0.99,0.16,0.37
1941.52,3.48,2.09,42.26,2.40,0.21,1.00,0.16,0.26
1941.67,3.63,2.16,43.34,2.46,0.21,1.00,0.15,0.27
1941.82,3.77,2.11,56.18,2.54,0.21,1.00,0.13,0.40
1941.98,3.86,2.12,72.28,2.61,0.21,1.00,0.10,0.55
1942.13,3.95,2.19,83.95,2.64,0.21,1.00,0.09,0.66
1942.28,3.98,2.28,87.67,2.64,0.21,1.00,0.09,0.69
1942.43,3.78,2.22,83.35,2.57,0.21,1.00,0.10,0.65
1942.58,3.41,1.97,83.06,2.50,0.21,1.00,0.10,0.65
1942.74,3.19,1.78,97.37,2.47,0.21,1.00,0.11,0.77
1942.89,3.14,1.77,112.97,2.42,0.21,1.00,0.12,0.90
1943.04,2.91,1.79,112.06,2.23,0.21,1.00,0.11,0.89
1943.19,2.63,1.62,92.89,1.84,0.22,1.00,0.14,0.73
1943.35,2.42,1.40,68.87,1.51,0.22,1.00,0.15,0.52
1943.50,2.30,1.24,56.92,1.42,0.23,1.00,0.15,0.41
1943.65,2.29,1.11,62.05,1.51,0.22,1.00,0.15,0.46
1943.80,2.29,1.01,72.48,1.65,0.22,1.00,0.15,0.55
1943.96,2.30,0.97,77.90,1.71,0.22,1.00,0.16,0.60
1944.11,2.30,0.99,83.56,1.75,0.22,1.00,0.17,0.65
1944.26,2.37,1.03,95.43,1.88,0.22,1.00,0.17,0.75
1944.41,2.53,1.18,108.16,2.07,0.21,1.00,0.17,0.86
1944.57,2.76,1.34,116.61,2.24,0.21,1.00,0.13,0.93
1944.72,2.99,1.43,121.79,2.41,0.21,1.00,0.11,0.96
1944.87,3.17,1.55,123.88,2.54,0.22,1.00,0.11,0.98
1945.02,3.32,1.67,121.02,2.60,0.21,1.00,0.11,0.96
1945.18,3.45,1.76,114.41,2.65,0.21,1.00,0.11,0.91
1945.33,3.52,1.81,108.52,2.67,0.21,1.00,0.11,0.86
1945.48,3.56,1.84,106.57,2.69,0.21,1.00,0.12,0.85
1945.63,3.58,1.85,107.97,2.68,0.21,1.00,0.11,0.86
1945.79,3.60,1.86,110.89,2.65,0.21,1.00,0.11,0.88
1945.94,3.63,1.87,114.39,2.63,0.21,1.00,0.11,0.91
1946.09,3.65,1.90,117.27,2.62,0.21,1.00,0.11,0.93
1946.24,3.67,1.92,118.26,2.62,0.21,1.00,0.11,0.94
1946.39,3.69,1.93,117.19,2.62,0.21,1.00,0.11,0.93
1946.55,3.69,1.92,115.39,2.62,0.21,1.00,0.11,0.92
1946.70,3.66,1.92,114.46,2.61,0.21,1.00,0.11,0.91
1946.85,3.60,1.91,114.54,2.60,0.21,1.00,0.11,0.91
1947.00,3.57,1.89,115.04,2.59,0.21,1.00,0.11,0.91
1947.16,3.63,1.86,115.57,2.60,0.21,1.00,0.11,0.92
1947.31,3.75,1.93,116.11,2.61,0.21,1.00,0.11,0.92
1947.46,3.87,2.08,116.49,2.62,0.21,1.00,0.11,0.92
1947.61,3.91,1.96,116.28,2.62,0.21,1.00,0.11,0.92
1947.77,3.74,1.72,115.31,2.58,0.21,1.00,0.11,0.91
1947.92,3.44,1.53,113.63,2.53,0.21,1.00,0.11,0.90
1948.07,3.15,1.38,111.28,2.45,0.21,1.00,0.11,0.88
1948.22,2.82,1.25,105.74,2.24,0.21,1.00,0.12,0.84
1948.38,2.51,1.15,91.15,1.89,0.22,0.99,0.12,0.72
1948.53,2.34,1.06,68.66,1.54,0.23,1.00,0.13,0.52
1948.68,2.36,0.99,52.36,1.38,0.25,1.00,0.13,0.36
1948.83,2.50,1.03,54.72,1.45,0.25,1.00,0.13,0.38
1948.99,2.62,1.30,72.92,1.74,0.23,1.00,0.12,0.56
1949.14,2.63,1.63,90.72,1.96,0.22,0.92,0.12,0.71
1949.29,2.49,1.70,93.10,1.87,0.22,0.83,0.12,0.73
1949.44,2.36,1.48,77.65,1.62,0.22,0.81,0.13,0.60
1949.60,2.30,1.17,55.51,1.41,0.25,0.99,0.11,0.39
1949.75,2.30,0.98,38.36,1.29,0.29,1.00,0.12,0.22
1949.90,2.32,0.93,30.66,1.26,0.32,1.00,0.12,0.13
1950.05,2.33,0.90,33.81,1.28,0.34,1.00,0.12,0.17
1950.20,2.42,0.87,50.09,1.38,0.31,1.00,0.13,0.34
1950.36,2.58,0.89,76.40,1.59,0.25,1.00,0.13,0.59
1950.51,2.82,1.06,101.59,1.92,0.22,0.98,0.14,0.81
1950.66,3.11,1.41,115.69,2.29,0.21,0.98,0.12,0.92
1950.81,3.34,1.75,118.33,2.51,0.22,1.00,0.11,0.94
1950.97,3.54,1.88,115.79,2.57,0.22,1.00,0.11,0.92
1951.12,3.67,1.91,113.86,2.57,0.22,1.00,0.11,0.90
1951.27,3.75,1.97,113.68,2.57,0.22,1.00,0.11,0.90
1951.42,3.81,2.03,113.65,2.58,0.22,1.00,0.11,0.90
1951.58,3.82,2.07,113.32,2.59,0.22,1.00,0.11,0.90
1951.73,3.80,2.10,113.34,2.58,0.21,1.00,0.11,0.90
1951.88,3.83,2.13,113.09,2.57,0.21,1.00,0.11,0.90
1952.03,3.90,2.14,110.90,2.59,0.21,1.00,0.11,0.88
1952.19,3.98,2.16,107.25,2.62,0.21,1.00,0.11,0.85
1952.34,4.01,2.20,105.25,2.65,0.21,1.00,0.11,0.84
1952.49,3.98,2.23,105.94,2.66,0.21,1.00,0.11,0.84
1952.64,3.97,2.25,106.49,2.65,0.21,1.00,0.11,0.85
1952.80,4.00,2.26,104.18,2.63,0.21,1.00,0.11,0.83
1952.95,4.03,2.26,99.71,2.63,0.21,1.00,0.10,0.79
1953.10,4.06,2.29,96.62,2.64,0.21,1.00,0.10,0.76
1953.25,4.08,2.30,97.75,2.64,0.21,1.00,0.09,0.77
1953.41,4.09,2.30,101.35,2.63,0.21,1.00,0.10,0.80
1953.56,4.10,2.31,103.43,2.61,0.21,1.00,0.10,0.82
1953.71,4.12,2.31,102.95,2.62,0.21,1.00,0.10,0.82
1953.86,4.16,2.34,100.69,2.65,0.21,1.00,0.10,0.80
1954.01,4.22,2.38,97.10,2.67,0.21,1.00,0.10,0.77
1954.17,4.26,2.42,93.26,2.67,0.21,1.00,0.09,0.74
1954.32,4.18,2.44,90.90,2.67,0.21,1.00,0.09,0.72
1954.47,4.05,2.41,90.52,2.65,0.21,1.00,0.09,0.71
1954.62,3.96,2.35,91.05,2.63,0.21,1.00,0.09,0.72
1954.78,3.94,2.31,90.94,2.60,0.21,1.00,0.09,0.72
1954.93,4.03,2.31,89.49,2.59,0.21,1.00,0.09,0.70
1955.08,4.15,2.37,87.61,2.59,0.21,1.00,0.08,0.69
1955.23,4.17,2.42,86.28,2.61,0.21,1.00,0.08,0.68
1955.39,4.01,2.41,84.12,2.61,0.21,1.00,0.08,0.66
1955.54,3.82,2.35,79.71,2.57,0.21,1.00,0.08,0.62
