Depth_m,Vp_km/s,Vs_km/s,GammaRay_api,Density_g/cc,Caliper_m,Swt_v/v,Phit_v/v,Vsh_v/v
1858.00,3.54,2.23,58.60,2.00,0.22,1.00,0.11,0.42
1858.16,3.16,2.13,59.11,2.24,0.22,1.00,0.11,0.43
1858.31,2.91,1.81,60.78,2.37,0.22,1.00,0.10,0.44
1858.46,2.92,1.51,65.42,2.45,0.22,1.00,0.10,0.49
1858.61,3.12,1.41,74.47,2.50,0.22,1.00,0.10,0.57
1858.76,3.30,1.47,84.87,2.52,0.22,1.00,0.10,0.66
1858.92,3.38,1.60,94.49,2.55,0.22,1.00,0.10,0.75
1859.07,3.43,1.67,103.36,2.58,0.22,1.00,0.10,0.82
1859.22,3.53,1.70,109.65,2.61,0.22,1.00,0.11,0.87
1859.37,3.65,1.80,110.85,2.58,0.22,1.00,0.11,0.88
1859.53,3.75,1.89,107.85,2.56,0.22,1.00,0.11,0.86
1859.68,3.83,1.97,104.13,2.56,0.22,1.00,0.11,0.83
1859.83,3.95,2.12,102.04,2.54,0.22,1.00,0.11,0.81
1859.98,4.06,2.10,101.92,2.40,0.22,1.00,0.12,0.81
1860.14,4.05,1.95,103.61,2.28,0.22,1.00,0.15,0.82
1860.29,3.80,1.83,107.02,2.25,0.22,1.00,0.15,0.85
1860.44,3.40,1.71,111.83,2.22,0.22,1.00,0.14,0.89
1860.59,3.07,1.62,117.17,2.05,0.22,1.00,0.13,0.93
1860.75,2.89,1.53,120.64,1.78,0.23,1.00,0.14,0.96
1860.90,2.86,1.45,119.83,1.56,0.23,1.00,0.15,0.95
1861.05,2.83,1.45,114.78,1.48,0.23,1.00,0.17,0.91
1861.20,2.70,1.41,103.70,1.56,0.22,0.93,0.18,0.82
1861.36,2.51,1.31,84.12,1.80,0.22,0.99,0.15,0.66
1861.51,2.36,1.21,62.21,2.10,0.22,1.00,0.12,0.46
1861.66,2.33,1.10,50.01,2.33,0.22,1.00,0.11,0.34
1861.81,2.48,1.06,54.48,2.40,0.22,1.00,0.11,0.38
1861.97,2.97,1.13,71.35,2.41,0.22,1.00,0.11,0.54
1862.12,3.53,1.39,89.76,2.43,0.22,1.00,0.12,0.71
1862.27,3.55,1.64,103.39,2.47,0.22,1.00,0.12,0.82
