Inline	TWT
0	 230.00 
1	 229.47 
2	 228.71 
3	 227.82 
4	 226.80 
5	 225.66 
6	 224.41 
7	 223.06 
8	 221.60 
9	 220.06 
10	 218.43 
11	 216.73 
12	 214.96 
13	 213.12 
14	 211.24 
15	 209.30 
16	 207.32 
17	 205.31 
18	 203.07 
19	 200.46 
20	 197.58 
21	 194.52 
22	 191.38 
23	 188.25 
24	 185.24 
25	 182.44 
26	 179.95 
27	 177.65 
28	 175.37 
29	 173.15 
30	 171.03 
31	 169.05 
32	 167.23 
33	 165.62 
34	 164.25 
35	 163.14 
36	 162.23 
37	 161.48 
38	 160.83 
39	 160.23 
40	 159.62 
41	 158.96 
42	 158.17 
43	 157.22 
44	 156.04 
45	 154.59 
46	 151.71 
47	 146.97 
48	 141.37 
49	 135.92 
50	 131.64 
51	 128.15 
52	 124.58 
53	 121.27 
54	 118.52 
55	 116.64 
56	 115.94 
57	 115.94 
58	 115.94 
59	 115.94 
60	 115.94 
61	 115.94 
62	 117.18 
63	 120.25 
64	 124.19 
65	 128.02 
66	 131.88 
67	 136.26 
68	 140.76 
69	 144.99 
70	 148.55 
71	 151.44 
72	 154.02 
73	 156.36 
74	 158.59 
75	 160.78 
76	 163.04 
77	 165.46 
78	 167.92 
79	 170.33 
80	 172.84 
81	 175.59 
82	 178.74 
83	 182.47 
84	 186.77 
85	 191.55 
86	 196.70 
87	 202.13 
88	 207.73 
89	 214.61 
90	 222.63 
91	 229.84 
92	 234.30 
93	 236.62 
94	 238.70 
95	 240.48 
96	 241.94 
97	 243.04 
98	 243.72 
99	 243.96 
