Inline	TWT
0	 296.00 
1	 293.48 
2	 290.89 
3	 288.22 
4	 285.48 
5	 282.71 
6	 279.92 
7	 277.13 
8	 274.36 
9	 271.63 
10	 268.97 
11	 266.38 
12	 263.89 
13	 261.53 
14	 259.31 
15	 257.25 
16	 255.39 
17	 253.73 
18	 252.24 
19	 250.84 
20	 249.51 
21	 248.19 
22	 246.84 
23	 245.41 
24	 243.85 
25	 242.11 
26	 240.15 
27	 237.92 
28	 234.96 
29	 231.07 
30	 226.61 
31	 221.92 
32	 217.38 
33	 213.34 
34	 210.14 
35	 207.60 
36	 205.26 
37	 203.13 
38	 201.21 
39	 199.53 
40	 198.07 
41	 196.90 
42	 195.98 
43	 195.17 
44	 194.33 
45	 193.33 
46	 192.03 
47	 189.86 
48	 186.65 
49	 182.83 
50	 178.85 
51	 175.14 
52	 172.14 
53	 170.29 
54	 169.19 
55	 168.18 
56	 167.28 
57	 166.53 
58	 165.96 
59	 165.59 
60	 165.46 
61	 165.97 
62	 167.39 
63	 169.55 
64	 172.31 
65	 175.49 
66	 178.94 
67	 182.49 
68	 185.99 
69	 189.97 
70	 194.86 
71	 200.32 
72	 206.00 
73	 211.57 
74	 216.69 
75	 221.01 
76	 224.61 
77	 227.81 
78	 230.73 
79	 233.45 
80	 236.07 
81	 238.70 
82	 241.43 
83	 244.36 
84	 247.58 
85	 251.21 
86	 255.79 
87	 261.40 
88	 267.41 
89	 273.17 
90	 278.04 
91	 281.40 
92	 283.74 
93	 285.97 
94	 288.02 
95	 289.82 
96	 291.33 
97	 292.49 
98	 293.22 
99	 293.48 
