Inline	TWT
0	 450.00 
1	 448.07 
2	 446.02 
3	 443.94 
4	 441.82 
5	 439.66 
6	 437.48 
7	 435.27 
8	 433.04 
9	 430.79 
10	 428.53 
11	 426.25 
12	 423.98 
13	 421.70 
14	 419.42 
15	 417.15 
16	 414.89 
17	 412.65 
18	 410.42 
19	 408.21 
20	 406.07 
21	 404.01 
22	 402.02 
23	 400.09 
24	 398.21 
25	 396.35 
26	 394.50 
27	 392.65 
28	 390.78 
29	 388.88 
30	 386.93 
31	 384.92 
32	 382.83 
33	 380.65 
34	 378.35 
35	 375.94 
36	 373.38 
37	 370.67 
38	 367.80 
39	 364.73 
40	 361.29 
41	 357.32 
42	 352.89 
43	 348.08 
44	 342.96 
45	 337.60 
46	 332.08 
47	 326.46 
48	 320.81 
49	 315.22 
50	 309.04 
51	 301.97 
52	 294.52 
53	 287.24 
54	 280.67 
55	 275.32 
56	 271.74 
57	 269.27 
58	 266.99 
59	 265.02 
60	 263.46 
61	 262.44 
62	 262.08 
63	 262.45 
64	 263.48 
65	 265.08 
66	 267.13 
67	 269.53 
68	 272.18 
69	 274.96 
70	 277.78 
71	 281.09 
72	 285.31 
73	 290.29 
74	 295.88 
75	 301.90 
76	 308.20 
77	 314.62 
78	 321.01 
79	 327.20 
80	 333.03 
81	 338.35 
82	 343.00 
83	 347.04 
84	 350.77 
85	 354.28 
86	 357.70 
87	 361.14 
88	 364.73 
89	 368.67 
90	 372.93 
91	 377.29 
92	 381.53 
93	 385.43 
94	 388.76 
95	 391.30 
96	 393.29 
97	 395.02 
98	 396.41 
99	 397.34 
